Review,Comments,Ratings,Locations,Time,Positive_Score,Negative_Score,Neutral_Score,Sentiment,Subjectivity_Score
Good,"Display is superbPhone is light weight good weight distributionFront camera is worst even after installing Gcam nothing improved Rear camera is good not superbCharging speed is good though Overall good but overall not satisfied ,Must go for some other product",5, Mukerian,nan,0.864,0,0.864,Positive,0.5700000000000001
Just wow!,Awesome,4, Sadasivpet,23 days ago,0.836,0,0.836,Positive,1.0
Bad quality,"Purchased on 11 April this yr..Heating issues.... After using one hour it gets very hot, I never experienced this type of over heating issues on my previous redmi phns. I have been using redmi mob since 15 years but never faced this issue. Disappointed",3, Kolkata,1 month ago,-0.2373,0.2373,0.0,Negative,0.6666666666666666
Nice,Mobile is not good per budget. Display 4/5Camera 3/5Battery backup 3/5Design 4/5This review was done after used of 1 month,3, Banka,3 months ago,0.6908,0,0.6908,Positive,0.8
Pretty good,Display  Gives you Premium feelCamera decentIt has OVERHEATING issue,3, Indore,3 months ago,0.7269,0,0.7269,Positive,0.8
Wonderful,Very nice product,4, Sasaram,3 months ago,0.7579,0,0.7579,Positive,1.0
Excellent,So smooth and awesome display ,3, Lakhipur Goalpara District,3 months ago,0.8316,0,0.8316,Positive,0.8333333333333334
Good quality product,"I like this phone,it's good. But as an iPhone user we have some issues with this phone. Redmi note 12 pro, side finger is not fast and properly working, I don't know why. It's a little bit slower than I expected.The color of this phone is not exactly what I see in images. I have ordered black version, I don't like the color, because the color is not exactly what I'm thinking.Phone comes with 67 watt of charger. But it's slower in quick charge mode. Camera of this phone looks good. But pro...",5, Purnia,3 months ago,0.9136,0,0.9136,Positive,0.44333333333333336
Fair,Camera is pretty good but while charging it take more than 1sec to connect to carger and take 3 to 5sec to connect to internet services but phone is just working like butter,3, Motihari,4 months ago,0.872,0,0.872,Positive,0.74
Worth every penny,Camera is decent.Sound quality is good enough.Overall a value for money phone.,5, Barrackpore,4 months ago,0.7351,0,0.7351,Positive,0.35000000000000003
Decent product,Nice ,5, Patna,nan,0.4215,0,0.4215,Positive,0.8333333333333333
Nice product,The overall look n feel of this phone is pretty nice given it's in the mid range price segment.This phone can go on all day with a single full charge which does not take more than 25min (without gaming). Only the 50MP camera is decent. The wide angle lens and the macro lens is pretty much useless. Overall it is a decent buy in this price range.,4, Rajpur Sonarpur,4 months ago,0.8481,0,0.8481,Positive,0.5152014652014653
Good quality product,Camera is not upto the mark..sony imx766 sensor provided in this phone may be duplicate or low qualityvivo v27 pro has same camera configuration but vivo v27 photo is more bright. Zoom quality is same...selfi better in v27,5, Gobardanga,4 months ago,0.765,0,0.765,Positive,0.55
Value-for-money,Everything is nice.... display is superb..Battery backup is very worst....battery draining too fast...camera is awesome..Good phone..price is bit higher...,5, Kanniyakumari District,4 months ago,0.4215,0,0.4215,Positive,0.75
Nice,I was using redmi note 8 pro since 3 years. Now i bought note 12 pro.. U haven't seen any considerable upgrade from 8 to 12 except fast charging battery and atmos sound..not a worth with 25k investment.,5, Hyderabad,4 months ago,0.5719,0,0.5719,Positive,0.5375
Brilliant,Good phone in all aspect,5, Pathankot,4 months ago,0.7717,0,0.7717,Positive,0.8
Fabulous!,So nice phn,5, Jalandhar District,4 months ago,0.7351,0,0.7351,Positive,1.0
Horrible,Very bad experience while using One of the worst phone Ever seen,4, Tirupati,4 months ago,-0.9022,0.9022,0.0,Negative,0.8888888888888888
Worth the money,Camera is pretty good display is super. But battery drain is fast..,5, Kancheepuram District,5 months ago,0.8979,0,0.8979,Positive,0.5933333333333334
Decent product,Battery issue drain fast not worth the money,5, Gorakhpur,5 months ago,0.2263,0,0.2263,Positive,0.45555555555555555
Good choice,Very good,5, Malappuram District,nan,0.7003,0,0.7003,Positive,0.6000000000000001
Perfect product!,Excellent,3, Trivandrum,5 months ago,0.8126,0,0.8126,Positive,1.0
Nice product,Awesome.... purchase it blindly,4, Damoh,5 months ago,0.7845,0,0.7845,Positive,0.8888888888888888
Really Nice,"So far so good, The rate of increase in price is more than the rate of increase in performance in Redmi devices.",5, Pune,5 months ago,0.8707,0,0.8707,Positive,0.8666666666666667
Fair,"It was my mistake that I was expecting a lot from this mobile phone but got disappointed with the performance...Pros:1. Light weight2. Super charging. Mobile get 100% in 25-30 mins3. AMOLED displayCons:1.Sometimes mobile is getting hanged. Sometimes the fingerprint sensor does not detect the finger and you have to press the power button.2. The battery is getting drained quickly. With very little use, I have to daily charge my phone3. Camera quality is not so good. Not very clear imag...",3, New Delhi,5 months ago,0.5719,0,0.5719,Positive,0.5625
Terrific purchase,Best Camera  Mobile Phone,5, District Sirsa,5 months ago,0.8074,0,0.8074,Positive,0.65
Delightful,Super,3, Hosadurga,5 months ago,0.8271,0,0.8271,Positive,0.8333333333333333
Terrific,"Greate phone, battery 57minit fullcharge, brackup 7hrs,camera mind blowing, price ithing 2-3Thusand high,phone performance good",5, Unokoti District,5 months ago,0.7184,0,0.7184,Positive,0.8
Awesome,Awesome ,3, Barabanki,5 months ago,0.8481,0,0.8481,Positive,1.0
Wonderful,Camera is good ,4, Allahabad,6 months ago,0.765,0,0.765,Positive,0.8
Terrific,Nice mobile ,4, Barpeta,nan,0.7096,0,0.7096,Positive,1.0
Worth the money,Camera quality is good,3, Sheohar,6 months ago,0.5859,0,0.5859,Positive,0.35000000000000003
Good quality product,"I have been using this phone for more than a month now. 1. Battery (3/5) : Battery charging time from 0 to 100 is around 1-1.1 hour. However, in case one uses phone while charging for medium usage, charging almost stops (I got like 20% charge in 30 min). So better charge without using it. Also battery drain and slight heating issue when you use 5G.2. Performance (5/5) : Good performance with no lagging or hanging even while multitasking including games and videos. 3. Display (5/5) : 12...",3, Mumbai,6 months ago,0.8191,0,0.8191,Positive,0.46666666666666673
Classy product,I used this phone since 1month it is awesomeCamera  4/5Performance 5/5Bgmi 5/5Battery  5/5Overall 4.5/5,3, Nashik,6 months ago,0.4404,0,0.4404,Positive,0.45
Fair,I was disappointed in camera quality I think IMX766 sensor is superb in pics quality but this Is opposite for my phone so I don't like camera quality,3, Gwalior,7 months ago,0.2937,0,0.2937,Positive,0.6625
Fabulous!,Excellent Mobile ,5, Chittoor District,7 months ago,0.7964,0,0.7964,Positive,1.0
Value-for-money,Good display camera ok ok,3, Chakan,7 months ago,0.743,0,0.743,Positive,0.5333333333333333
Terrific,Super camera good quality,5, Hyderabad,7 months ago,0.872,0,0.872,Positive,0.7555555555555555
Must buy!,Very good ,4, Kaptanganj,7 months ago,0.4404,0,0.4404,Positive,0.6000000000000001
Best in the market!,Camera phone ,4, Kakori,7 months ago,0.6369,0,0.6369,Positive,0.3
Nice product,Good for 20-22K,4, Delhi,nan,0.6908,0,0.6908,Positive,0.8
Decent product,Not a worth mobile..... Money waste,5, Kovilpatti,8 months ago,-0.2263,0.2263,0.0,Negative,0.25555555555555554
Good,Wrost Camera quality.,5, Sri Ganganagar,8 months ago,0.4404,0,0.4404,Positive,0.6000000000000001
Fair,After a minute torch is Automatically off Just Because Overheating but outside no Heating Observed,5, Malkapur Buldana District,7 months ago,0.3182,0,0.3182,Positive,0.47500000000000003
Slightly disappointed,"Camera quality not ok as per price, poor quality. Performance of the the phone not good as per price, Software low quality. After use of 20 days my feedback is BAD. Redmi note 12pro is not a useful product. High budget phone but camera, software, etc are not expected in this range  When Heavy usage time It's performance HANGNot recommend any one for buying this phone in this range My old phone performance better than redmi note 12proRedmi all phone network issues, call and net also....",5, Howrah,1 month ago,0.2247,0,0.2247,Positive,0.42743589743589744
Pretty good,Back Camera  4.8  Battery  4.0Performance 4.5 Display.      4.5Front camera  3.5,5, Kushinagar District,3 months ago,0.7269,0,0.7269,Positive,0.5333333333333333
Utterly Disappointed,Fingerprint not working,5, Ambala,6 months ago,-0.5256,0.5256,0.0,Negative,0.75
Fair,Very Bad Battery Back-Up Of This Mobile Phone,5, Kaithal District,7 months ago,-0.296,0.296,0.0,Negative,0.7833333333333333
Terrific purchase,Awesome experience. Nice product thank you xiomi,3, Chennai,7 months ago,0.91,0,0.91,Positive,1.0
Worst experience ever!,"Back camera is average, but selfie camera is pathetic,",5, Greater Noida,7 months ago,-0.8316,0.8316,0.0,Negative,0.6
Waste of money!,Major issue in battery backup,3, Noida,nan,-0.4215,0.4215,0.0,Negative,0.25
Did not meet expectations,"camera is ugly , use less. selfie photos are adding un expected colors, my old phone Samsung is 100% better then this .",3, Bengaluru,7 months ago,-0.1027,0.1027,0.0,Negative,0.4333333333333334
Did not meet expectations,Worst mobile,4, Nandyal,7 months ago,-0.6249,0.6249,0.0,Negative,1.0
Good,Normal,5, Anaparthy,7 months ago,0.4404,0,0.4404,Positive,0.625
Don't waste your money,This mobile is very very pure lo perfamance All Guys not buy thi mobile,5, Guntur,8 months ago,0.3252,0,0.3252,Positive,0.25
Brilliant,Best 5g phone.....,4, Kannauj District,7 months ago,0.8402,0,0.8402,Positive,0.65
Excellent,All good ,4, Hyderabad,7 months ago,0.765,0,0.765,Positive,0.8
Worthless,Battery draining very fast. In 25k they gave mobile like 10k.Very bad camera. Guys don't buy this mobile. Go fot One Plus.,4, Ranchi,8 months ago,-0.5994,0.5994,0.0,Negative,0.7222222222222222
Absolute rubbish!,Worst cemera photos are not clear pixel damage high,5, Sattur,7 months ago,-0.6908,0.6908,0.0,Negative,0.7058333333333333
Pretty good,Nice phone,3, Katihar,7 months ago,0.836,0,0.836,Positive,0.8666666666666667
Mind-blowing purchase,Very very nice mobile phone,5, Darbhanga,nan,0.4215,0,0.4215,Positive,1.0
Not recommended at all,Performance is not good. Many app stuck while using. Don't purchase else you will regret. I am using from last 4 month and it is like 5k phone. Many time hang and restarted. Camera performance is like redmi note 4. And they are saying that is is remi 12 note pro,3, Pratapgarh District,8 months ago,0.8415,0,0.8415,Positive,0.4166666666666667
Pretty good,"Worst camera Quality. Display resolution like 10k phone display resolution.  It's Worth of below 15k. That's it.  Getting Heat when it is in Charging. Look for Better one, I recommend not to buy",5, Palasa Kasibugga,7 months ago,0.8689,0,0.8689,Positive,0.64
Absolute rubbish!,Please don't buyI was using samsung mobile and switched to Rlthisnphone. I really disappointed.1. Processor are not good2. Now and then mobile is hanging3. Heating issue is there4. Heavy Mobile users don't buy it. 5. Sp many bugs are there. Simply wasteCamera quality is not at all Good.Music clarity just amazing,5, Coimbatore,3 months ago,0.8211,0,0.8211,Positive,0.6438775510204081
Did not meet expectations,Please Don't waste your hard earned money on this deviceCamera quality is very bad even my old redmi note 5 pro capture best photos than thisBattery drainage is very fastEven display also very badOverall i not recommend to buy this phone,4, Rampura Phul,5 months ago,0.798,0,0.798,Positive,0.3416666666666667
Worth every penny,Redmi note 12 pro 5G Performance super Cemara  best qualityBattery  backups not goodDesign awesome ,5, Purba Champaran District,7 months ago,0.9337,0,0.9337,Positive,0.5166666666666666
Excellent,"Such amazing phone... Good camera clarity,Battery performance just like other Redmi phones, Ultimate performance while using... Liked it so much.",4, Bangalore,7 months ago,0.9403,0,0.9403,Positive,0.75
Very poor,Worst phone i ever bought in redmi mobilesIn this phone 50mp cam badMacro cam too badSome times some apps not working until rebootOverall ga 25000 bokka,5, Kakinada,4 months ago,-0.802,0.802,0.0,Negative,0.8
Mind-blowing purchase,"In this Price Segment..You get the best Display panel,best rear camera,fluid performance,very good battery back up and charging speed.Overall Nice experience ",5, Nadia District,6 months ago,0.872,0,0.872,Positive,0.47500000000000003
Perfect product!,Good,3, Wanaparthy,7 months ago,0.765,0,0.765,Positive,0.8
Not recommended at all,"Waste of money, camera quality very bad, taking much time to charge, go for other phones at this price",5, Srinagar,nan,-0.6705,0.6705,0.0,Negative,0.2888888888888889
Value-for-money,"Phone is good,front camera has a problem in light condition it makes your face glowy and phone is quite fast also the fingerprint is very fast.overall good product.also loved the glass back",5, Rishra,7 months ago,0.6249,0,0.6249,Positive,0.54
Mind-blowing purchase,Good performance and good camera,5, Noida,7 months ago,0.7003,0,0.7003,Positive,0.6000000000000001
Terrific,Mind blowing camera,3, Malda,8 months ago,0.4767,0,0.4767,Positive,1.0
Simply awesome,Red mi and flipkart u r amazing redmi note 12 pro it was 2023 best phone,4, Karimnagar,8 months ago,0.9201,0,0.9201,Positive,0.5499999999999999
Hated it!,Hight price performance low camera quality average mobile hang,4, Dhamtari,8 months ago,-0.743,0.743,0.0,Negative,0.4666666666666666
Just okay,Not good .. bad redmi note 12 pro .. data use so more  advertise. Use call then advertise .. more data use advertise .. so bad phone redmi note pro ....,5, Goalpara,7 months ago,-0.4939,0.4939,0.0,Negative,0.6083333333333333
Hated it!,Product is awesome. But service of Flipkart is very very poor. Even below the poor level.,5, Palanpur,2 months ago,-0.743,0.743,0.0,Negative,0.725
Utterly Disappointed,Very worst had mic issues  speaker,5, Ariyappampalayam,6 months ago,-0.8304,0.8304,0.0,Negative,0.875
Very Good,Camera perfect,5, Hamirpur,7 months ago,0.765,0,0.765,Positive,0.8
Best in the market!,Very very good phone Beautiful phone designs,5, New Delhi,nan,0.9001,0,0.9001,Positive,0.6333333333333334
Waste of money!,Big disappointment!!!Camera is really worst.Xiaomi India is growing in reverse.,4, Tiruvannamalai,7 months ago,-0.2111,0.2111,0.0,Negative,0.10000000000000002
Just okay,Front camera and wide angle very poor in low light and indoor,5, Kalyan,7 months ago,-0.5106,0.5106,0.0,Negative,0.5
Fabulous!,Sound goodDisplay good,5, Bengaluru,7 months ago,0.743,0,0.743,Positive,0.6666666666666666
Just okay,"Battery drains very fast, phone is good but battery drains very very fast",5, Kolkata,7 months ago,0.5859,0,0.5859,Positive,0.5750000000000001
Does the job,"Cameras are ok...not the level of Realme 9 pro plusEspecially the selfy camera.Super design and colour, nice charger, hoping for good performance",5, Mumbai,8 months ago,0.8176,0,0.8176,Positive,0.8
Terrible product,Not good according to price sound quality very poorChamra quality very poorI am seeing 20000 thousand under phone other company having good phoneThis product is not goodPlease don't bay,3, Patna,8 months ago,0.4019,0,0.4019,Positive,0.65
Worth every penny,Highly recommended!!,4, Durgapur,6 days ago,0.4576,0,0.4576,Positive,0.31999999999999995
Just okay,OIS not working as specification,5, Barapali,11 days ago,0.2263,0,0.2263,Positive,0.5
Hated it!,Battery backup is very bad camera so so total money wastage and not not return,5, Dhaulpur,15 days ago,-0.8271,0.8271,0.0,Negative,0.7055555555555556
Unsatisfactory,Over heating,4, New Delhi,nan,0.0,0,0.0,Neutral,0.0
Slightly disappointed,I expect don't reach pone,3, Vijayawada,20 days ago,-0.4369,0.4369,0.0,Negative,0.75
Wonderful,Sometimes it starts heating up when mobile data is on.still the mobile is very good,3, Sikar,20 days ago,0.765,0,0.765,Positive,0.8
Expected a better product,Fast battery draing,5, Srikakulam,20 days ago,0.4404,0,0.4404,Positive,0.5
Terrible product,Battery heat problem camera very poor,3, Indore,20 days ago,-0.836,0.836,0.0,Negative,0.8
Utterly Disappointed,"The camera is very bad. It has OIS but image output is not good. Special in indoors.The screen is amoled but it is not fantastic as other maker.The aod always on display is very dim.There are lots of blotware in the app.You can uninstall opera.Design is very very old and boxy. It like wagon r.The back panel feel cheap plastic.Lastly, they are scamming 699 fre Spotify offer which is totally bogus.You have to pay 699 rupee to avail free offers. Not sure why they put free if you t...",5, Gurugram,21 days ago,0.8949,0,0.8949,Positive,0.5866910866910866
Good quality product,Very good ,4, Lucknow,23 days ago,0.7003,0,0.7003,Positive,0.6000000000000001
Unsatisfactory,"Waste product, poor battery performance...",3, Chengamanad,29 days ago,-0.7096,0.7096,0.0,Negative,0.3
Waste of money!,"Never go for this phone, This phone has an over heating issue,Heating like an oven,  the  screen is good, anything else is not good, Never go for it, this is my very bad choice",3, Kalyan,1 month ago,0.81,0,0.81,Positive,0.4666666666666667
Just okay,Nice of camera battery backup no one day only,4, Salem,1 month ago,0.5719,0,0.5719,Positive,0.75
Worthless,Camera Very bad performance,3, Devanahalli,nan,-0.7506,0.7506,0.0,Negative,0.7833333333333333
Decent product,Battery is very poor according to cost of phone. Didn't last for a full day. Even it drains very fast with normal daily use only.,5, Jhalawar,1 month ago,-0.4767,0.4767,0.0,Negative,0.44761904761904764
Bad quality,"The actual worth of this phone would be 21k . . I personally hate this phone..... Only design is good. Issues: Overheating, poor camera at this price, battery drains fast, internal mic is not good. Overall...... Totally waste of money",4, Basugaon,1 month ago,-0.7713,0.7713,0.0,Negative,0.37878787878787884
Good,Battery backup very bad camera performance not satisfactory,5, Mirzapur Division,1 month ago,0.2263,0,0.2263,Positive,0.6333333333333333
Worthless,Please don't buy this phone It has major issues with its cell towers i.e sim cards doesn't work properly... Don't waste your money on this device.,3, Jalalabad,1 month ago,0.1857,0,0.1857,Positive,0.375
Decent product,Battery backup is very poor,5, Bhadravati,1 month ago,-0.4767,0.4767,0.0,Negative,0.6333333333333333
Classy product,The phone camera is osm.... ,5, Ranaghat,1 month ago,0.4404,0,0.4404,Positive,0.9
Hated it!,Worst product and worst service provided by Flipkart.0 rating from my side...,5, Satna District,1 month ago,-0.9246,0.9246,0.0,Negative,0.9
Good,Battary performance is vary pooar,4, Basti,1 month ago,0.4404,0,0.4404,Positive,0.6000000000000001
Classy product,All is out standing super phone,5, Bankura District,1 month ago,0.7783,0,0.7783,Positive,0.7833333333333333
Pretty good,Overall Is Good ,5, Katihar,nan,0.8402,0,0.8402,Positive,0.55
Delightful,Nice mobile,5, Bengaluru,1 month ago,0.765,0,0.765,Positive,1.0
Wonderful,Nwngthang mwna nainw haiyw camera quality ma baidi ang six month use xalamnai unao review hwdw...,5, Guwahati,1 month ago,0.5719,0,0.5719,Positive,1.0
Perfect product!,"Mobile is good at this priceScreen is brilliant67watts chargerFull charge within 1hrNo ads and no bloatware compared with other brand Android mobileWith Stereo speakers audio output is loud and clearAnd it have inbuilt basic features and many moreThe display was fantastic and it also comes with an applied filter like cinema,retro, black and white and outdoor and of course 5g network is fast and it supports Dolby vision",5, Manugur,1 month ago,0.9451,0,0.9451,Positive,0.5509259259259259
Simply awesome,Super exllentI love Redmi,5, Khammam District,1 month ago,0.9217,0,0.9217,Positive,0.7555555555555555
Super!,Worth to by itEspecially Mi lovers,4, Belgaum Division,1 month ago,0.8481,0,0.8481,Positive,0.3833333333333333
Excellent,Super cemera,5, Palitana,1 month ago,0.8225,0,0.8225,Positive,0.8333333333333333
Absolute rubbish!,Worst product nd Flipkart service is also poor ,5, Jamshedpur,1 month ago,-0.802,0.802,0.0,Negative,0.8333333333333334
Waste of money!,Battery backup is very poor...plzz return it,3, Jehanabad,1 month ago,-0.4215,0.4215,0.0,Negative,0.0
Fabulous!,Daylight condition photo you must like itValue for money phoneIn-room video,5, Abhayapuri,2 months ago,0.7096,0,0.7096,Positive,1.0
Highly recommended,Nice phone .Dolby audio is awesome . Display is big and clear.Battery last couple of days with 4g but drains in 8 hours with 5g .Camera is better and design looks much better.Charging is super fast .,5, Erode,nan,0.9439,0,0.9439,Positive,0.5192592592592593
Excellent,It's a second month review so far the product is looking fine maybe I'll edit the review after couple of months based on the performance,3, Chennai,2 months ago,0.4019,0,0.4019,Positive,0.7
Very poor,Camera Quality Third Class,5, Ghaziabad,2 months ago,-0.4767,0.4767,0.0,Negative,0.3
Fair,Camera can be better need memory card slot overall perfomance is good battery charged in 30-40 mins processor is also fast now almost one month i have been using,4, Nashik,2 months ago,0.743,0,0.743,Positive,0.52
Perfect product!,Nice phone and good performance,5, Muzaffarnagar District,2 months ago,0.8555,0,0.8555,Positive,0.8666666666666667
Nice,3 Star rating for bad software experience,5, Thiruvananthapuram,2 months ago,-0.1779,0.1779,0.0,Negative,0.8333333333333333
Terrific,Very nice,5, Bengaluru,2 months ago,0.7096,0,0.7096,Positive,1.0
Good,It's ok.. Aftr use one month the phone was hang.. Battery capacity only one day .. Back camera awesome.. Design also nice..Otherwise it's not worth..,5, Paravai,2 months ago,0.8779,0,0.8779,Positive,0.44000000000000006
Touchpad not working,This review is after using 5 months. Today my phone's touchpad suddenly stopped working. I went to the service center and they told that it will take atleast 5-6 days to repair. Worst quality and very poor service from MI.,5, Pune,2 months ago,-0.8442,0.8442,0.0,Negative,0.55
Delightful,Only selfy camra not up to the mark othervise all are best,5, Khailar,2 months ago,0.8402,0,0.8402,Positive,0.65
Super!,Redmi Note series are Love ,5, Rajahmundry,nan,0.8442,0,0.8442,Positive,0.6333333333333333
Must buy!,Good phone,3, Bhojpur District,2 months ago,0.4404,0,0.4404,Positive,0.6000000000000001
Not recommended at all,The product performance is not up to the markFacing network and browsing issuesWorst experience with XiaomiNot recommended to purchase,5, Ysr District,2 months ago,0.3818,0,0.3818,Positive,0.0
Worth the money,In 50 MP OIS camera pics are not much expected when zooming. Some what small disappointment. Display good. Battery good. Sound good. 5G is good. 10x zoom support. Night cam also good. Processor is best for gamings no lags.,5, East Godavari,2 months ago,0.9477,0,0.9477,Positive,0.4545454545454545
Unsatisfactory,Very bad Product camera is not good and hang most of time. Battery drain fast. Screen not good  balky size,5, Rewa,2 months ago,0.3182,0,0.3182,Positive,0.6166666666666667
Pretty good,Nice phone,3, Agra,2 months ago,0.836,0,0.836,Positive,0.8666666666666667
Very Good,Good,3, Bishnupur Bankura District,2 months ago,0.7003,0,0.7003,Positive,0.6000000000000001
Great product,Overall good but camera should be better,5, Bhuj,2 months ago,0.872,0,0.872,Positive,0.4625
Fair,Battery performance is poor.... 5000 mah battry but performance is very very poor,3, Patiala,2 months ago,-0.5994,0.5994,0.0,Negative,0.7000000000000001
Very Very Poor mobile -- network not working properly,"This is the worst phone I have purchased in smart mobile editions. If you're looking for better network connectivity, please do not buy it. Experiencing worst network connectivity, not working for 4G or 4G+ or 5G. Same issue for friend also.",4, Ysr District,3 months ago,-0.296,0.296,0.0,Negative,0.7485714285714286
Unsatisfactory,"Don't buy this phone it's wastage of your money. heat issue during wifi using ,phone and charger is getting heated also there is no smart support from brand and Flipkart and brand and Flipkart is not able to accept Return.Still not inserted sim card and mobile is in box nowCompare to other phone Motorola edge 40 and 75G is best",4, Pune,nan,0.9042,0,0.9042,Positive,0.5226190476190476
Fabulous!,"As i am watching it's performance not much good and camera also not much good i am using it from previous 10 days i also have updated it to latest version , smartphone is so good in design and everything is so good just these two performance and camera is little good not much good",5, Kullu District,3 months ago,0.9628,0,0.9628,Positive,0.6166666666666666
Nice,Hardware is good. Only software not have a some options. Less options for Always on display. Phone call app is not good. Poor widgets. Dual time widgets doesn't have transparency option. Double tap off screen  option not working.. More improvements requires in software.,5, Visakhapatnam District,3 months ago,0.7783,0,0.7783,Positive,0.4777777777777778
Perfect product!,Awesome product with better camera..,5, Kanpur,3 months ago,0.8934,0,0.8934,Positive,0.8333333333333334
Terrific,Very good cameraVery good all,3, Lakhisarai,3 months ago,0.836,0,0.836,Positive,0.7333333333333334
Very Good,All performance very good...,3, Puri,3 months ago,0.7003,0,0.7003,Positive,0.6000000000000001
Wonderful,Awesome phone experience.. just fabulous in this range of phones. Loved it.,3, Berhampore,3 months ago,0.9442,0,0.9442,Positive,0.95
Good quality product,Phone is good,5, Vaishali District,3 months ago,0.7003,0,0.7003,Positive,0.6000000000000001
Perfect product!,Overall it is a good phone,5, Medinipur,3 months ago,0.765,0,0.765,Positive,0.5333333333333333
Awesome,Everything is excellent except heating issue ...,4, Prayagraj,3 months ago,0.8316,0,0.8316,Positive,1.0
Does the job,Heating issue,5, Vellore,nan,0.0,0,0.0,Neutral,0.0
Great product,Really really a good cell where u will be very satisfy with this mobile and even I exachanged my old mobile was a good experience from Flipkart. And tqs Flipkart but Flipkart I want to tell is pls keep mobile charged ok my mobile was not charged it was full battery down.,4, Zirakpur,3 months ago,0.9383,0,0.9383,Positive,0.5333333333333333
Wonderful,Awesome phone redmi note 12 Pro 5g.,5, Kolkata,3 months ago,0.8316,0,0.8316,Positive,1.0
Wonderful,best deal,5, Kolar District,3 months ago,0.836,0,0.836,Positive,0.65
Decent product,Camera is not upto advertising level and definitely not good when compared to competitors. And as usual redmi comes with inbuilt heater while charging. So no worries ur device will get 40+ easily on a normal Surry day while charging and while on summer hot day it's upto ur limit,5, Chittoor District,3 months ago,0.6369,0,0.6369,Positive,0.6033333333333333
Value-for-money,Camera quality was good and battery performance is well .And all that features love it,4, Basukinath,3 months ago,0.8481,0,0.8481,Positive,0.6000000000000001
Delightful,Redmi note 12 pro under 25k best phone nice camera and amoled display,3, Bengaluru,3 months ago,0.8957,0,0.8957,Positive,0.7666666666666666
Hated it!,Don't buy it's too much heating problem. Also seller not accepted return request.battery draining too fast,4, Azamgarh District,3 months ago,-0.7003,0.7003,0.0,Negative,0.5
Best in the market!,Overall its best,3, Paradip,3 months ago,0.8555,0,0.8555,Positive,0.19999999999999998
Perfect product!,Very nice design and good quality camera,3, Kalyan,4 months ago,0.8555,0,0.8555,Positive,0.8666666666666667
Worth every penny,Supar,5, Khidirpur,nan,0.2263,0,0.2263,Positive,0.1
Could be way better,Battery drains Faster like 3-5yrs old phone,5, Ranga Reddy,4 months ago,0.6597,0,0.6597,Positive,0.35
Simply awesome,Super ,5, North Twenty Four Parganas District,4 months ago,0.8402,0,0.8402,Positive,0.8333333333333333
Perfect product!,Nice camera,5, Thiruvananthapuram,4 months ago,0.7579,0,0.7579,Positive,1.0
Waste of money!,Phone is not Turning On. Over Heating problem.,3, Shikarpur,4 months ago,-0.6705,0.6705,0.0,Negative,0.0
Wonderful,It is a excellent product If you are miui user u can definitely upgrade to thisProsCamera is goodPerformance is excellent Battery and charging is also excellent and it lasts easily for 1 and half dayNo heating issues as far but becomes warm after playing games for 1 hr if you are in hot environment but no lagsIts a medium to big in hand but comfortable enough Display is also one of the highlight ConsBut disappointed with the front camera as it is not as good as the back cameraSti...,5, Hyderabad,4 months ago,0.9839,0,0.9839,Positive,0.6577777777777778
Terrific,Very nice ,3, Sitamarhi,4 months ago,0.7096,0,0.7096,Positive,1.0
Classy product,The cell phone is very durable. And all rounder camera is perfect for day to day uses. Performance is excellent,4, Gaya,4 months ago,0.8834,0,0.8834,Positive,0.9666666666666667
Worth every penny,Awesome mobile,5, East Godavari,4 months ago,0.7184,0,0.7184,Positive,0.55
Utterly Disappointed,Primary camera performance is very bad,5, Kishanganj,4 months ago,-0.7841,0.7841,0.0,Negative,0.6388888888888888
Classy product,"Excellent Phone, value for money, Thank you MI and Flipkart.",3, Mumbai,nan,0.8885,0,0.8885,Positive,0.95
Fair,Average performanceAverage cameraAverage displayCompletely an average phone,5, Bengaluru,4 months ago,0.3182,0,0.3182,Positive,0.5666666666666667
Delightful,"Nice product , camera and performance good , hated iteams sd card not support and  no snapdragon processor",5, Verkilambi,4 months ago,0.7906,0,0.7906,Positive,0.825
Terrific purchase,Ok,3, Karimpur,4 months ago,0.6486,0,0.6486,Positive,0.75
Utterly Disappointed,Battery performance is very poor. Battery draining within 6hrs even if it is in idle mode ,4, Hyderabad,4 months ago,-0.7574,0.7574,0.0,Negative,0.675
Awesome,Good phone with good performance.,5, Periyamanali,4 months ago,0.872,0,0.872,Positive,0.7333333333333334
Good choice,In 25k i would expect metal or glass body. Or some premium looks.,5, Pune,4 months ago,0.4404,0,0.4404,Positive,0.6000000000000001
Nice,Just ok,5, Madhubani District,4 months ago,0.6124,0,0.6124,Positive,0.75
Good,Camera IS not good as redmi camera known for.OSI IS USELESS. SHAKEY VDO RECORDED ALL TIME.DISPLAY BRIGHTNESS AUTOMATICALLY DECREASED.,5, Borai,4 months ago,0.6808,0,0.6808,Positive,0.525
Wonderful,"Been using from last 3 months.No problems at all. No lag.Good 5G signal reception on Jio network.Camera is more than decent, if not superb.Excellent display. Amoled.Great phone in the 20K segment.",5, Bangalore,4 months ago,0.25,0,0.25,Positive,0.5777777777777778
Not recommended at all,After a week phone getting heated while charging and lagging. The problem are increasing. Day by day phone got stucked 8n between app switch over.. and battery drain is worst,4, Dehradun,nan,-0.7964,0.7964,0.0,Negative,1.0
